symptom_text,label
We noticed generally healthy-looking leaf blades no visible signs. worth treating soon,Tomato_healthy
Plant shows small insects and webbing under leaves. could be serious,Tomato_Spider_mites_Two_spotted_spider_mite
"Shiny, glossy green leaves without damage.",Pepper__bell___healthy
Plant shows yellow halos on potato leaves. small dark spots with likely spreading fast,Potato___Early_blight
"Shiny, smooth green leaves without damage. needs urgent care",Pepper__bell___healthy
"Could be wilting leaves, especially at night.",Tomato_Late_blight
Definitely small dark spots with yellow halos on potato leaves.,Potato___Early_blight
"Rough, scaly patches and raised bumps on pepper leaves. needs urgent care",Pepper__bell___Bacterial_spot
Probably no signs of infection. potato foliage have,Potato___healthy
Tan circular lesions with pale yellow halo. needs urgent care,Tomato_Bacterial_spot
We noticed with concentric rings. small dark dots,Tomato_Early_blight
"Foliage without damage. shiny, smooth green could be serious",Pepper__bell___healthy
We noticed brown circular lesions with faint yellow halo.,Tomato_Bacterial_spot
Potato leaves have no signs of infection. getting worse,Potato___healthy
Leaf spots starting near sides expanding inward. worth treating soon,Tomato_Septoria_leaf_spot
Powdery whitish layer covering leaves. likely spreading fast,Tomato_Leaf_Mold
"Generally healthy-looking leaves, no visible signs. likely spreading fast",Tomato_healthy
"Near edges, expanding inward. leaf spots starting",Tomato_Septoria_leaf_spot
Plant shows with faint yellow halo. brown circular lesions needs urgent care,Tomato_Bacterial_spot
"Looks like generally healthy-looking leaves, no visible signs. could be serious",Tomato_healthy
"Farmer says rough, scaly patches and raised bumps on pepper foliage could be serious",Pepper__bell___Bacterial_spot
Could be webbing under leaves. little insects and,Tomato_Spider_mites_Two_spotted_spider_mite
Small dark spots with faint yellow halos on potato leaf blades getting worse,Potato___Early_blight
Looks like near sides expanding inward. leaf marks starting,Tomato_Septoria_leaf_spot
"Raised bumps on pepper leaves. rough, scaly patches and getting worse",Pepper__bell___Bacterial_spot
With yellow halo. brown circular lesions,Tomato_Bacterial_spot
"Appears as soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
We noticed irregular brown patches and decay.,Tomato__Target_Spot
Patches on young leaf blades light green or mottled needs urgent care,Tomato__Tomato_mosaic_virus
Tan circular lesions with pale yellow halo. likely spreading fast,Tomato_Bacterial_spot
"Quickly spread on potato leaf blades soft, watery spots that",Potato___Late_blight
Potato leaf blades have no signs of infection.,Potato___healthy
Farmer says layer covering leaves. powdery whitish could be serious,Tomato_Leaf_Mold
Layer covering leaves. powdery whitish,Tomato_Leaf_Mold
Looks like brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Potato leaves have no signs of infection.,Potato___healthy
Tan circular lesions with yellowish halo. getting worse,Tomato_Bacterial_spot
Leaf blades turning yellow and twisting getting worse,Tomato__Tomato_YellowLeaf__Curl_Virus
"Probably no visible signs. generally healthy-looking leaves,",Tomato_healthy
No visible signs. generally healthy-looking foliage,Tomato_healthy
Light green or mottled patches on young foliage,Tomato__Tomato_mosaic_virus
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Wilting leaf blades especially at night. worth treating soon,Tomato_Late_blight
Tiny insects and webbing under leaves. likely spreading fast,Tomato_Spider_mites_Two_spotted_spider_mite
Looks like powdery whitish layer covering leaves.,Tomato_Leaf_Mold
We noticed small dark dots with concentric rings.,Tomato_Early_blight
Light green or mottled patches on young leaf blades likely spreading fast,Tomato__Tomato_mosaic_virus
Leaf blades turning yellow and twisting could be serious,Tomato__Tomato_YellowLeaf__Curl_Virus
"Could be shiny, silky green leaves without damage. getting worse",Pepper__bell___healthy
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
"We noticed shiny, smooth green leaves without damage.",Pepper__bell___healthy
Small dark dots with yellow halos on potato leaves. needs urgent care,Potato___Early_blight
"Appears as no visible signs. generally healthy-looking leaves, getting worse",Tomato_healthy
Brown circular lesions with yellow halo. worth treating soon,Tomato_Bacterial_spot
Plant shows leaf blades turning yellow and curling. likely spreading fast,Tomato__Tomato_YellowLeaf__Curl_Virus
Farmer says brown circular lesions with pale yellow halo.,Tomato_Bacterial_spot
We noticed small dark spots with yellow halos on potato leaves. getting worse,Potato___Early_blight
We noticed leaf spots starting near sides expanding inward. could be serious,Tomato_Septoria_leaf_spot
Small insects and webbing under leaf blades getting worse,Tomato_Spider_mites_Two_spotted_spider_mite
Clearly pale yellow and shriveling leaves turning getting worse,Tomato__Tomato_YellowLeaf__Curl_Virus
"Appears as rough, scaly patches and raised bumps on pepper foliage could be serious",Pepper__bell___Bacterial_spot
Layer covering leaf blades powdery white,Tomato_Leaf_Mold
"Farmer says generally healthy-looking leaves, no visible signs.",Tomato_healthy
Looks like with yellow halo. dark brown circular lesions,Tomato_Bacterial_spot
"Quickly spread on potato leaves. soft, watery spots that likely spreading fast",Potato___Late_blight
Powdery whitish layer covering leaf blades likely spreading fast,Tomato_Leaf_Mold
Farmer says mushy watery spots that quickly spread on potato leaves. worth treating soon,Potato___Late_blight
"Wilting leaves, especially at night. needs urgent care",Tomato_Late_blight
Clearly especially at night. wilting foliage could be serious,Tomato_Late_blight
"Plant shows leaf blades without damage. shiny, glossy green",Pepper__bell___healthy
Yellowish halos on potato leaves. small dark spots with getting worse,Potato___Early_blight
Powdery whitish layer covering foliage could be serious,Tomato_Leaf_Mold
Farmer says brown circular lesions with yellow halo.,Tomato_Bacterial_spot
"Leaves without damage. shiny, smooth green",Pepper__bell___healthy
"Leaves without damage. shiny, smooth green",Pepper__bell___healthy
Patches and decay. irregular brown getting worse,Tomato__Target_Spot
Farmer says brown circular lesions with yellowish halo. could be serious,Tomato_Bacterial_spot
Appears as light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Could be wilting foliage especially at night. likely spreading fast,Tomato_Late_blight
Patches on young leaf blades light green or mottled worth treating soon,Tomato__Tomato_mosaic_virus
Powdery chalky layer covering leaves. needs urgent care,Tomato_Leaf_Mold
Plant shows especially at night. wilting foliage,Tomato_Late_blight
Seems to have generally healthy-looking leaf blades no visible signs.,Tomato_healthy
Potato foliage have no signs of infection. could be serious,Potato___healthy
We noticed small dark dots with concentric rings.,Tomato_Early_blight
"Wilting leaves, especially at night. getting worse",Tomato_Late_blight
Small dark spots with yellow halos on potato foliage,Potato___Early_blight
Layer covering leaf blades powdery white needs urgent care,Tomato_Leaf_Mold
Seems to have irregular brown patches and decay. likely spreading fast,Tomato__Target_Spot
Plant shows light green or mottled patches on young leaf blades needs urgent care,Tomato__Tomato_mosaic_virus
Definitely generally healthy-looking leaf blades no visible signs. getting worse,Tomato_healthy
Patches and decay. irregular brown,Tomato__Target_Spot
"Clearly near edges, expanding inward. leaf patches starting",Tomato_Septoria_leaf_spot
"Shiny, smooth green foliage without damage. getting worse",Pepper__bell___healthy
"We noticed no visible signs. generally healthy-looking leaves,",Tomato_healthy
Clearly yellow and shriveling foliage turning,Tomato__Tomato_YellowLeaf__Curl_Virus
"Shiny, smooth green leaves without damage. getting worse",Pepper__bell___healthy
Looks like raised bumps on pepper foliage harsh scaly patches and needs urgent care,Pepper__bell___Bacterial_spot
"Clearly wilting leaves, especially at night. likely spreading fast",Tomato_Late_blight
Small dark patches with yellow halos on potato leaves. worth treating soon,Potato___Early_blight
Delicate watery spots that quickly spread on potato leaves. needs urgent care,Potato___Late_blight
No signs of infection. potato leaves have worth treating soon,Potato___healthy
"Seems to have leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Probably wilting foliage especially at night. getting worse,Tomato_Late_blight
Seems to have light green or mottled patches on young leaves. needs urgent care,Tomato__Tomato_mosaic_virus
Powdery white layer covering leaves.,Tomato_Leaf_Mold
Appears as little insects and webbing under leaf blades,Tomato_Spider_mites_Two_spotted_spider_mite
Could be small dark spots with yellow halos on potato leaves. getting worse,Potato___Early_blight
Clearly small dark dots with yellow halos on potato leaves. needs urgent care,Potato___Early_blight
"Soft, watery dots that quickly spread on potato leaves.",Potato___Late_blight
Irregular dark brown patches and decay. needs urgent care,Tomato__Target_Spot
Could be patches on young leaves. light green or mottled,Tomato__Tomato_mosaic_virus
Powdery whitish layer covering leaf blades,Tomato_Leaf_Mold
Probably delicate watery spots that quickly spread on potato foliage,Potato___Late_blight
Foliage turning yellowish and shriveling needs urgent care,Tomato__Tomato_YellowLeaf__Curl_Virus
Powdery chalky layer covering leaves. getting worse,Tomato_Leaf_Mold
Clearly with concentric rings. small dark spots,Tomato_Early_blight
Tiny insects and webbing under foliage needs urgent care,Tomato_Spider_mites_Two_spotted_spider_mite
Leaf spots starting near sides expanding inward. getting worse,Tomato_Septoria_leaf_spot
Farmer says wilting foliage especially at night.,Tomato_Late_blight
Layer covering leaves. powdery white,Tomato_Leaf_Mold
We noticed tan circular lesions with yellow halo. getting worse,Tomato_Bacterial_spot
Probably small dark spots with yellowish halos on potato leaves. could be serious,Potato___Early_blight
Seems to have small dark patches with yellow halos on potato leaf blades worth treating soon,Potato___Early_blight
Patches on young leaves. light green or mottled could be serious,Tomato__Tomato_mosaic_virus
Farmer says small dark spots with yellowish halos on potato leaves. could be serious,Potato___Early_blight
Definitely wilting foliage especially at night.,Tomato_Late_blight
Farmer says irregular tan patches and decay.,Tomato__Target_Spot
Appears as patches on young leaf blades light green or mottled could be serious,Tomato__Tomato_mosaic_virus
Clearly powdery white layer covering leaves. worth treating soon,Tomato_Leaf_Mold
Probably little insects and webbing under leaves. could be serious,Tomato_Spider_mites_Two_spotted_spider_mite
"Wilting leaves, especially at night.",Tomato_Late_blight
"Probably leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
With concentric rings. small dark spots worth treating soon,Tomato_Early_blight
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Small dark dots with concentric rings. needs urgent care,Tomato_Early_blight
We noticed with yellowish halo. tan circular lesions likely spreading fast,Tomato_Bacterial_spot
Coarse scaly patches and raised bumps on pepper leaf blades,Pepper__bell___Bacterial_spot
Appears as yellowish and curling. leaves turning,Tomato__Tomato_YellowLeaf__Curl_Virus
"Farmer says leaf dots starting near edges, expanding inward. could be serious",Tomato_Septoria_leaf_spot
Brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Appears as small dark dots with yellow halos on potato foliage worth treating soon,Potato___Early_blight
We noticed dark brown circular lesions with faint yellow halo. needs urgent care,Tomato_Bacterial_spot
Could be delicate watery patches that quickly spread on potato leaves. needs urgent care,Potato___Late_blight
With concentric rings. small dark spots getting worse,Tomato_Early_blight
"Farmer says leaf spots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Probably leaf blades turning yellow and curling. likely spreading fast,Tomato__Tomato_YellowLeaf__Curl_Virus
Irregular dark brown patches and decay.,Tomato__Target_Spot
We noticed wilting foliage especially at night. could be serious,Tomato_Late_blight
Small dark spots with concentric rings. likely spreading fast,Tomato_Early_blight
Farmer says small dark patches with concentric rings. getting worse,Tomato_Early_blight
Appears as generally healthy-looking foliage no visible signs. likely spreading fast,Tomato_healthy
Webbing under leaf blades tiny insects and,Tomato_Spider_mites_Two_spotted_spider_mite
Harsh scaly patches and raised bumps on pepper leaves.,Pepper__bell___Bacterial_spot
Foliage turning yellow and twisting worth treating soon,Tomato__Tomato_YellowLeaf__Curl_Virus
"Plant shows rough, scaly patches and raised bumps on pepper leaf blades",Pepper__bell___Bacterial_spot
We noticed leaf blades turning yellowish and curling. could be serious,Tomato__Tomato_YellowLeaf__Curl_Virus
"Could be leaf patches starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Brown circular lesions with yellow halo. getting worse,Tomato_Bacterial_spot
"Wilting leaves, especially at night.",Tomato_Late_blight
Light green or mottled patches on young leaves. worth treating soon,Tomato__Tomato_mosaic_virus
Leaf spots starting near margins expanding inward.,Tomato_Septoria_leaf_spot
Plant shows small dark spots with concentric rings.,Tomato_Early_blight
Clearly yellow halos on potato leaves. small dark patches with,Potato___Early_blight
Farmer says minute insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Patches and decay. irregular brown could be serious,Tomato__Target_Spot
Irregular brown patches and decay.,Tomato__Target_Spot
Potato leaf blades have no signs of infection.,Potato___healthy
Wilting leaf blades especially at night. worth treating soon,Tomato_Late_blight
We noticed small dark spots with yellow halos on potato leaf blades,Potato___Early_blight
"Plant shows leaves without damage. shiny, smooth green likely spreading fast",Pepper__bell___healthy
Leaves turning yellowish and shriveling getting worse,Tomato__Tomato_YellowLeaf__Curl_Virus
With concentric rings. small dark spots getting worse,Tomato_Early_blight
Probably leaves turning pale yellow and curling. needs urgent care,Tomato__Tomato_YellowLeaf__Curl_Virus
Irregular tan patches and decay.,Tomato__Target_Spot
Farmer says yellow halos on potato leaf blades small dark spots with,Potato___Early_blight
Wilting leaf blades especially at night.,Tomato_Late_blight
Leaf blades turning faint yellow and curling. worth treating soon,Tomato__Tomato_YellowLeaf__Curl_Virus
"No visible signs. generally healthy-looking leaves,",Tomato_healthy
Definitely powdery white layer covering leaf blades could be serious,Tomato_Leaf_Mold
Little insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Farmer says light green or mottled patches on young leaves. could be serious,Tomato__Tomato_mosaic_virus
Plant shows powdery whitish layer covering leaves.,Tomato_Leaf_Mold
Powdery whitish layer covering leaves.,Tomato_Leaf_Mold
"Leaves without damage. shiny, glossy green worth treating soon",Pepper__bell___healthy
"Leaf dots starting near edges, expanding inward.",Tomato_Septoria_leaf_spot
Brown circular lesions with yellowish halo.,Tomato_Bacterial_spot
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Wilting leaf blades especially at night.,Tomato_Late_blight
Light green or mottled patches on young foliage likely spreading fast,Tomato__Tomato_mosaic_virus
Could be small dark marks with yellow halos on potato leaves. getting worse,Potato___Early_blight
Potato foliage have no signs of infection. getting worse,Potato___healthy
"Probably shiny, smooth green leaves without damage. likely spreading fast",Pepper__bell___healthy
Light green or mottled patches on young leaf blades,Tomato__Tomato_mosaic_virus
Plant shows irregular brown patches and decay. could be serious,Tomato__Target_Spot
Plant shows no signs of infection. potato leaf blades have getting worse,Potato___healthy
"Quickly spread on potato leaf blades soft, watery spots that",Potato___Late_blight
Small dark spots with concentric rings. needs urgent care,Tomato_Early_blight
No signs of infection. potato foliage have likely spreading fast,Potato___healthy
"Seems to have leaves without damage. shiny, smooth green could be serious",Pepper__bell___healthy
Appears as potato leaves have no signs of infection. could be serious,Potato___healthy
Looks like yellow and twisting leaves turning getting worse,Tomato__Tomato_YellowLeaf__Curl_Virus
"Wilting leaves, especially at night.",Tomato_Late_blight
Patches on young leaves. light green or mottled needs urgent care,Tomato__Tomato_mosaic_virus
Potato leaf blades have no signs of infection.,Potato___healthy
We noticed tiny insects and webbing under foliage,Tomato_Spider_mites_Two_spotted_spider_mite
Tiny insects and webbing under leaf blades,Tomato_Spider_mites_Two_spotted_spider_mite
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Seems to have webbing under leaves. small insects and getting worse,Tomato_Spider_mites_Two_spotted_spider_mite
"We noticed soft, watery spots that quickly spread on potato leaves.",Potato___Late_blight
Appears as layer covering leaves. powdery white needs urgent care,Tomato_Leaf_Mold
Definitely pale yellow halos on potato leaves. small dark spots with,Potato___Early_blight
Powdery white layer covering leaves. likely spreading fast,Tomato_Leaf_Mold
Definitely powdery chalky layer covering leaves.,Tomato_Leaf_Mold
No visible signs. generally healthy-looking leaf blades needs urgent care,Tomato_healthy
Plant shows generally healthy-looking leaf blades no visible signs. getting worse,Tomato_healthy
Looks like potato foliage have no signs of infection. getting worse,Potato___healthy
Yellowish halos on potato leaf blades small dark spots with,Potato___Early_blight
Quickly spread on potato leaf blades delicate watery spots that needs urgent care,Potato___Late_blight
Clearly tiny insects and webbing under foliage,Tomato_Spider_mites_Two_spotted_spider_mite
Coarse scaly patches and raised bumps on pepper foliage,Pepper__bell___Bacterial_spot
Definitely small dark marks with yellow halos on potato leaves. likely spreading fast,Potato___Early_blight
Plant shows generally healthy-looking leaf blades no visible signs.,Tomato_healthy
Small dark spots with faint yellow halos on potato leaves. worth treating soon,Potato___Early_blight
Wilting leaf blades especially at night. getting worse,Tomato_Late_blight
"We noticed quickly spread on potato leaves. soft, watery spots that",Potato___Late_blight
Seems to have irregular tan patches and decay. getting worse,Tomato__Target_Spot
Plant shows small dark spots with yellow halos on potato leaf blades likely spreading fast,Potato___Early_blight
Leaves turning yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Leaves turning yellowish and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
We noticed powdery white layer covering leaf blades worth treating soon,Tomato_Leaf_Mold
Small dark dots with concentric rings. getting worse,Tomato_Early_blight
Powdery chalky layer covering leaves. could be serious,Tomato_Leaf_Mold
"Raised bumps on pepper leaves. rough, scaly patches and",Pepper__bell___Bacterial_spot
Tiny insects and webbing under leaves. could be serious,Tomato_Spider_mites_Two_spotted_spider_mite
Definitely patches on young foliage light green or mottled,Tomato__Tomato_mosaic_virus
Looks like tan circular lesions with yellow halo. could be serious,Tomato_Bacterial_spot
"Looks like quickly spread on potato leaves. soft, watery spots that likely spreading fast",Potato___Late_blight
"Definitely leaf spots starting near edges, expanding inward. needs urgent care",Tomato_Septoria_leaf_spot
Appears as mushy watery spots that quickly spread on potato leaves. getting worse,Potato___Late_blight
Appears as layer covering leaves. powdery white worth treating soon,Tomato_Leaf_Mold
Clearly yellow and twisting leaves turning,Tomato__Tomato_YellowLeaf__Curl_Virus
"Near edges, expanding inward. leaf spots starting likely spreading fast",Tomato_Septoria_leaf_spot
Small dark spots with yellow halos on potato leaves.,Potato___Early_blight
"Rough, scaly patches and raised bumps on pepper leaves. getting worse",Pepper__bell___Bacterial_spot
"Generally healthy-looking leaves, no visible signs. getting worse",Tomato_healthy
Probably irregular dark brown patches and decay. needs urgent care,Tomato__Target_Spot
Appears as light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Wilting foliage especially at night.,Tomato_Late_blight
"Looks like leaf blades without damage. shiny, silky green needs urgent care",Pepper__bell___healthy
Generally healthy-looking leaf blades no visible signs. needs urgent care,Tomato_healthy
"Rough, scaly patches and raised bumps on pepper leaf blades needs urgent care",Pepper__bell___Bacterial_spot
Delicate watery spots that quickly spread on potato leaves. worth treating soon,Potato___Late_blight
Looks like leaf spots starting near margins expanding inward.,Tomato_Septoria_leaf_spot
"Shiny, smooth green leaves without damage. getting worse",Pepper__bell___healthy
Yellow and curling. leaf blades turning,Tomato__Tomato_YellowLeaf__Curl_Virus
With concentric rings. small dark spots,Tomato_Early_blight
"Clearly rough, scaly patches and raised bumps on pepper foliage",Pepper__bell___Bacterial_spot
"Especially at night. wilting leaves,",Tomato_Late_blight
Small dark marks with yellowish halos on potato leaves.,Potato___Early_blight
"Appears as generally healthy-looking leaves, no visible signs.",Tomato_healthy
Farmer says tiny insects and webbing under leaf blades,Tomato_Spider_mites_Two_spotted_spider_mite
"Probably generally healthy-looking leaves, no visible signs. likely spreading fast",Tomato_healthy
Farmer says light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Patches on young leaves. light green or mottled,Tomato__Tomato_mosaic_virus
Could be small dark spots with concentric rings.,Tomato_Early_blight
Webbing under leaves. minute insects and could be serious,Tomato_Spider_mites_Two_spotted_spider_mite
Irregular tan patches and decay.,Tomato__Target_Spot
Powdery white layer covering foliage needs urgent care,Tomato_Leaf_Mold
Farmer says with concentric rings. small dark spots,Tomato_Early_blight
"Generally healthy-looking leaves, no visible signs.",Tomato_healthy
Farmer says light green or mottled patches on young leaves. needs urgent care,Tomato__Tomato_mosaic_virus
"Rough, scaly patches and raised bumps on pepper foliage",Pepper__bell___Bacterial_spot
"Leaf spots starting near edges, expanding inward. likely spreading fast",Tomato_Septoria_leaf_spot
"Definitely shiny, smooth green leaves without damage.",Pepper__bell___healthy
Seems to have harsh scaly patches and raised bumps on pepper foliage getting worse,Pepper__bell___Bacterial_spot
Definitely powdery white layer covering leaves.,Tomato_Leaf_Mold
Probably delicate watery spots that quickly spread on potato leaves.,Potato___Late_blight
Leaves turning pale yellow and curling.,Tomato__Tomato_YellowLeaf__Curl_Virus
Definitely powdery white layer covering leaf blades could be serious,Tomato_Leaf_Mold
Farmer says light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Little insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Probably no signs of infection. potato leaves have,Potato___healthy
Light green or mottled patches on young leaf blades worth treating soon,Tomato__Tomato_mosaic_virus
Appears as no signs of infection. potato leaves have,Potato___healthy
Appears as harsh scaly patches and raised bumps on pepper foliage,Pepper__bell___Bacterial_spot
Appears as powdery white layer covering leaf blades worth treating soon,Tomato_Leaf_Mold
"Definitely near edges, expanding inward. leaf spots starting worth treating soon",Tomato_Septoria_leaf_spot
"Plant shows wilting leaves, especially at night.",Tomato_Late_blight
"Soft, watery dots that quickly spread on potato leaf blades likely spreading fast",Potato___Late_blight
Tiny insects and webbing under leaves. worth treating soon,Tomato_Spider_mites_Two_spotted_spider_mite
Leaf spots starting near margins expanding inward.,Tomato_Septoria_leaf_spot
"Near edges, expanding inward. leaf spots starting likely spreading fast",Tomato_Septoria_leaf_spot
Definitely no signs of infection. potato leaves have,Potato___healthy
Dark brown circular lesions with yellow halo.,Tomato_Bacterial_spot
Definitely brown circular lesions with faint yellow halo.,Tomato_Bacterial_spot
Definitely powdery chalky layer covering leaves.,Tomato_Leaf_Mold
Definitely foliage turning yellow and shriveling,Tomato__Tomato_YellowLeaf__Curl_Virus
"Near edges, expanding inward. leaf spots starting needs urgent care",Tomato_Septoria_leaf_spot
Small dark spots with concentric rings.,Tomato_Early_blight
Probably yellow halos on potato leaves. small dark spots with needs urgent care,Potato___Early_blight
Seems to have potato foliage have no signs of infection. likely spreading fast,Potato___healthy
Small dark spots with concentric rings.,Tomato_Early_blight
Tan circular lesions with yellow halo.,Tomato_Bacterial_spot
Light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
Probably layer covering leaves. powdery white worth treating soon,Tomato_Leaf_Mold
"Leaves without damage. shiny, silky green could be serious",Pepper__bell___healthy
Appears as patches on young leaves. light green or mottled likely spreading fast,Tomato__Tomato_mosaic_virus
Tiny insects and webbing under leaves. could be serious,Tomato_Spider_mites_Two_spotted_spider_mite
Farmer says no signs of infection. potato leaves have,Potato___healthy
"Seems to have near edges, expanding inward. leaf spots starting getting worse",Tomato_Septoria_leaf_spot
Plant shows minute insects and webbing under leaves.,Tomato_Spider_mites_Two_spotted_spider_mite
Coarse scaly patches and raised bumps on pepper leaves. getting worse,Pepper__bell___Bacterial_spot
"Wilting leaves, especially at night.",Tomato_Late_blight
Definitely potato foliage have no signs of infection. needs urgent care,Potato___healthy
"Wilting leaves, especially at night.",Tomato_Late_blight
We noticed small dark spots with concentric rings.,Tomato_Early_blight
Probably patches and decay. irregular brown,Tomato__Target_Spot
Potato leaves have no signs of infection. getting worse,Potato___healthy
Looks like light green or mottled patches on young leaves.,Tomato__Tomato_mosaic_virus
"Definitely raised bumps on pepper leaf blades rough, scaly patches and",Pepper__bell___Bacterial_spot
Irregular brown patches and decay.,Tomato__Target_Spot
"Could be generally healthy-looking leaves, no visible signs. getting worse",Tomato_healthy
"We noticed rough, scaly patches and raised bumps on pepper leaves. worth treating soon",Pepper__bell___Bacterial_spot
"Leaf patches starting near edges, expanding inward. likely spreading fast",Tomato_Septoria_leaf_spot
Light green or mottled patches on young foliage,Tomato__Tomato_mosaic_virus
Seems to have tiny insects and webbing under foliage getting worse,Tomato_Spider_mites_Two_spotted_spider_mite
Coarse scaly patches and raised bumps on pepper leaves.,Pepper__bell___Bacterial_spot
"Appears as generally healthy-looking leaves, no visible signs.",Tomato_healthy
Harsh scaly patches and raised bumps on pepper foliage could be serious,Pepper__bell___Bacterial_spot
Leaf dots starting near margins expanding inward.,Tomato_Septoria_leaf_spot
No signs of infection. potato leaves have needs urgent care,Potato___healthy
Powdery white layer covering leaves. worth treating soon,Tomato_Leaf_Mold
We noticed yellow halos on potato foliage small dark spots with,Potato___Early_blight
Small dark spots with concentric rings. getting worse,Tomato_Early_blight
Looks like irregular dark brown patches and decay.,Tomato__Target_Spot
Irregular brown patches and decay. worth treating soon,Tomato__Target_Spot
Farmer says irregular dark brown patches and decay.,Tomato__Target_Spot
"Shiny, smooth green leaves without damage.",Pepper__bell___healthy
With yellow halo. brown circular lesions needs urgent care,Tomato_Bacterial_spot
Irregular brown patches and decay.,Tomato__Target_Spot
"We noticed quickly spread on potato leaves. soft, watery spots that",Potato___Late_blight
Light green or mottled patches on young leaves. needs urgent care,Tomato__Tomato_mosaic_virus
