description,crop,status,disease,recommended_pesticide
According to the grower: notable Leaves turn bronze and curl under. extensive Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: rapid Infested leaves drop prematurely. severe Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
moderate Lesions merge into large yellow areas.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
rapid Older leaves are the first to show symptoms. sudden Lower leaves drop prematurely under stress.,Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: visible Leaves develop a musty odor. sporadic Undersides develop fuzzy white or olive mold.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
According to the grower: notable Overall growth appears stunted. moderate Leaf edges appear scorched and curled.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: extensive Overall plant appears dwarfed.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Farmer reports: notable Severe infections reduce fruit yield. moderate Growth appears patchy across the field. moderate Spots increase rapidly in wet conditions.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
sporadic Overall growth appears stunted.,Tomato,Unhealthy,Early_blight,Horticultural oil
Farmer reports: severe White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray
According to the grower: sudden Stems are firm and unblemished. rapid Plants show no signs of stress or pests.,Potato,Healthy,healthy,None
Field observation shows: rapid Growth appears stunted with patchy foliage.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: slight Flower formation may be reduced. slight Fruits show irregular color patterns.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer reports: sporadic Leaves curl and become brittle. sudden Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
sporadic Foliage appears scorched and curled. extensive Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Farmer reports: moderate Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
sporadic Older leaves are the first to show symptoms.,Potato,Unhealthy,Early_blight,Neem oil
According to the grower: moderate Virus spreads easily through plant contact. extensive Fruits show irregular color patterns.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: sudden Fruits develop uneven ripening. clear Fruits show irregular color patterns. rapid Leaves display mottled light and dark green patches.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
sudden Plants show no signs of stress or pests. severe Growth appears vigorous and steady. sporadic Leaves are lush green with no visible spots.,Potato,Healthy,healthy,None
clear Plants maintain strong upright growth.,Potato,Healthy,healthy,None
sudden Plant growth becomes stunted and uneven. slight Lesions become raised and scabby on fruit. sporadic Warm weather accelerates disease spread.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer complains: sporadic Infestation begins on lower leaves. notable Leaves turn bronze and curl under.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: clear Fruit clusters are well-formed. rapid Plant stands tall and vigorous. sporadic Flowers appear healthy and plentiful.,Tomato,Healthy,healthy,None
severe Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil
Agronomist notes: rapid Young leaves curl upward and turn yellow.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Visual check indicates: visible Flowers often drop without fruit setting. slight Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Visual check indicates: sporadic Affected plants exhibit reduced tuber size. rapid Severe cases cause significant leaf loss.,Potato,Unhealthy,Early_blight,Neem oil
According to the grower: extensive Stems turn brown and brittle.,Tomato,Unhealthy,Late_blight,Neem oil
Farmer reports: extensive Fruit set appears normal and healthy. moderate Stems appear firm and upright.,Pepper_bell,Healthy,healthy,None
Agronomist notes: sudden Tiny dark spots appear on young leaves. moderate Leaf edges turn brown and crack. sporadic Spots sometimes merge into larger dead areas.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Visual check indicates: slight Leaf surfaces feel dry and rough. clear Leaves turn bronze and curl under.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: clear Undersides develop fuzzy white or olive mold. severe Yellow patches appear on upper leaf surfaces.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Agronomist notes: slight Fruit production decreases sharply. sporadic Internodes shorten dramatically. sudden Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: rapid Spots sometimes merge into larger dead areas. slight Lower leaves drop prematurely.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Farmer complains: clear Stems show brown streaks near soil level. clear Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray
Agronomist notes: visible Leaves curl and become brittle.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer complains: rapid Fruits show irregular color patterns.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: rapid Fruit development may be stunted. sudden Leaf surfaces feel dry and rough. extensive Fine yellow dust may be visible on foliage.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
"Farmer complains: severe Lesions enlarge during warm, humid weather.",Potato,Unhealthy,Early_blight,Neem oil
Inspection reveals: sudden Spots may merge into larger dead zones.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer reports: visible Leaves become limp and collapse suddenly. rapid Stems show brown streaks near soil level.,Potato,Unhealthy,Late_blight,Sulfur spray
"Visual check indicates: visible Spots expand during warm, humid weather.",Tomato,Unhealthy,Early_blight,Horticultural oil
visible Plant canopy is full and evenly spaced. clear Growth appears vigorous and balanced. rapid Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,None
Farmer complains: notable No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
Visual check indicates: notable New leaves become infected almost overnight. clear Leaves become limp and collapse suddenly. notable Edges of lesions appear water-soaked and greasy.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: moderate Tiny dark specks appear with pale centers. severe Spots remain less than ⅛ inch in diameter. sudden Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
According to the grower: sporadic Growth appears stunted with patchy foliage. severe The affected areas appear sunken and dry. sudden Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: moderate Warm weather accelerates disease spread. sudden Lesions become raised and scabby on fruit. extensive Brown streaks may appear on stems.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Visual check indicates: sudden Growth appears patchy across the field. slight Plants look generally stressed. sudden Spots increase rapidly in wet conditions.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Visual check indicates: sporadic White mold may appear on leaf undersides. notable Stems turn brown and brittle. sudden Large irregular brown patches appear on leaves.,Tomato,Unhealthy,Late_blight,Neem oil
"Agronomist notes: sporadic Fruits develop sunken, leathery patches. clear Yellowing appears around brown lesions. rapid Leaf edges appear scorched and curled.",Tomato,Unhealthy,Early_blight,Horticultural oil
According to the grower: slight Brown streaks may appear on stems. sporadic Plant growth becomes stunted and uneven. sudden Tiny dark specks appear on young leaves.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer complains: extensive Overall plant vigor decreases.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Farmer complains: rapid Mites thrive in hot, dry conditions.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
"Field observation shows: visible Leaf edges appear scorched and curled. visible Fruits develop sunken, leathery patches. clear Older leaves show symptoms first.",Tomato,Unhealthy,Early_blight,Horticultural oil
Agronomist notes: visible Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer reports: rapid Tiny dark specks appear on young leaves. visible Warm weather accelerates disease spread.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
slight Leaf edges remain intact and smooth.,Potato,Healthy,healthy,None
According to the grower: extensive Dark spots sometimes appear on stems. sudden Severe cases cause significant leaf loss. notable Lower leaves drop prematurely under stress.,Potato,Unhealthy,Early_blight,Neem oil
Agronomist notes: sudden Fruit set appears normal and healthy. clear Overall appearance is robust and lush.,Pepper_bell,Healthy,healthy,None
severe No unusual odor detected in the field.,Potato,Healthy,healthy,None
Field observation shows: severe Plant canopy is full and evenly spaced. notable Leaves look vibrant green with a smooth texture.,Pepper_bell,Healthy,healthy,None
Field observation shows: sporadic Fruits develop uneven ripening.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer complains: severe Growth appears patchy across the field.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: visible No spots or discoloration on leaves. visible Plants appear free from any pests or diseases. sporadic Overall growth is steady and balanced.,Tomato,Healthy,healthy,None
"Farmer complains: rapid Infected tubers show dark, firm patches beneath the skin. visible White fungal growth may appear under humid conditions. moderate Edges of lesions appear water-soaked and greasy.",Potato,Unhealthy,Late_blight,Sulfur spray
Inspection reveals: rapid Infestation begins on lower leaves. sporadic Fine yellow dust may be visible on foliage. moderate Plant vigor declines noticeably.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer reports: severe Lesions become angular and water-soaked. slight Leaf edges turn brown and crack.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Farmer complains: notable Fruits show irregular color patterns. visible Leaflets may become fern-like and narrow. rapid Virus spreads easily through plant contact.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: severe No visible blemishes on leaves or stems. visible Stems appear firm and upright. sudden Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,None
Farmer reports: clear Virus spreads easily through plant contact.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: sporadic Spots remain less than ⅛ inch in diameter.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
According to the grower: sporadic Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,None
Farmer reports: visible Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Inspection reveals: slight Leaves may appear leathery. slight Growth appears stunted and twisted. rapid Overall plant vigor decreases.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Field observation shows: severe New leaves become infected almost overnight. slight Large brown blotches develop rapidly on leaves. notable Blight odor is noticeable in severe infections.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer reports: clear Fruits develop bright color and firm walls.,Pepper_bell,Healthy,healthy,None
According to the grower: slight Leaves are lush green with no visible spots.,Potato,Healthy,healthy,None
Visual check indicates: slight Leaf edges become ragged and torn. severe Plant growth becomes stunted and uneven. extensive Tiny dark specks appear on young leaves.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
"clear Leaves collapse suddenly without warning. severe Cool, moist weather promotes rapid spread.",Tomato,Unhealthy,Late_blight,Neem oil
Agronomist notes: extensive Spots remain less than ⅛ inch in diameter. sporadic Stems remain largely unaffected. moderate Lower leaves drop early in the season.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: severe Leaf edges remain intact and smooth. notable Plants maintain strong upright growth. clear No unusual odor detected in the field.,Potato,Healthy,healthy,None
moderate No signs of wilting or discoloration. visible Growth appears vigorous and steady. rapid Leaf edges remain intact and smooth.,Potato,Healthy,healthy,None
According to the grower: moderate Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
According to the grower: sudden Overall growth appears stunted. slight Plant vigor decreases over time. notable Leaf edges appear scorched and curled.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: moderate Plant vigor declines noticeably. rapid Infestation begins on lower leaves. rapid Leaves appear stippled with pale spots.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Inspection reveals: rapid Plant vigor decreases over time.,Tomato,Unhealthy,Early_blight,Horticultural oil
Visual check indicates: sudden Stems appear firm and upright. clear No unusual wilting or curling of leaves.,Pepper_bell,Healthy,healthy,None
Field observation shows: slight Edges of leaves become brown and dry.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer reports: moderate Flowers often drop without fruit setting. moderate Fruit production decreases sharply. visible Overall plant appears dwarfed.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
According to the grower: severe Leaf edges become ragged and torn. extensive Lower leaves drop early under stress. visible Lesions become raised and scabby on fruit.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Agronomist notes: notable Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Field observation shows: severe Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
"According to the grower: rapid Plant vigor decreases over time. slight Fruits develop sunken, leathery patches.",Tomato,Unhealthy,Early_blight,Horticultural oil
According to the grower: visible Fruits show irregular color patterns. visible Flower formation may be reduced. rapid Fruits develop uneven ripening.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer reports: sudden Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
sporadic Plant vigor declines noticeably. severe Leaves turn bronze and curl under. sudden Infestation begins on lower leaves.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
sudden Small dark spots develop with concentric rings. rapid Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Farmer complains: rapid Affected plants exhibit reduced tuber size.,Potato,Unhealthy,Early_blight,Neem oil
Farmer complains: slight Stems show brown streaks near soil level. severe Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray
Agronomist notes: severe Edges of lesions look water-soaked.,Tomato,Unhealthy,Late_blight,Neem oil
Farmer complains: slight Warm weather accelerates disease spread.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Inspection reveals: notable Edges of lesions look water-soaked. rapid Infected areas emit a musty odor.,Tomato,Unhealthy,Late_blight,Neem oil
notable Undersides develop fuzzy white or olive mold. extensive Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Visual check indicates: sporadic White fungal growth may appear under humid conditions.,Potato,Unhealthy,Late_blight,Sulfur spray
According to the grower: severe Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Field observation shows: moderate Fruits show irregular color patterns.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
severe Growth appears stunted with patchy foliage. slight Leaves look scorched or burnt at the edges. sudden The affected areas appear sunken and dry.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Agronomist notes: rapid Lower leaves drop early under stress.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
Farmer reports: slight Plant vigor decreases over time. notable Leaves drop prematurely under stress.,Tomato,Unhealthy,Early_blight,Horticultural oil
Inspection reveals: moderate Young leaves curl upward and turn yellow. rapid Leaf edges show bright yellow coloring.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: visible Young leaves curl upward and turn yellow. notable Internodes shorten dramatically. sporadic Fruit production decreases sharply.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
rapid Fruits develop evenly with no blemishes. sudden Plant stands tall and vigorous. sudden No sign of curling or wilting.,Tomato,Healthy,healthy,None
Inspection reveals: severe Yellow halos surround each small lesion.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: rapid Small dark lesions appear on the lower leaves.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
According to the grower: moderate Lesions coalesce into large blighted zones. visible Growth appears stunted with patchy foliage. slight Leaves show circular or irregular necrotic areas.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Visual check indicates: extensive Lesions coalesce into large blighted zones. notable Leaves show circular or irregular necrotic areas. visible Spots develop yellow halos as they expand.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
"Agronomist notes: moderate Infected tubers show dark, firm patches beneath the skin. sporadic New leaves become infected almost overnight. notable Leaves become limp and collapse suddenly.",Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: sudden Fruits show dark specks near the stem end. moderate Spots are more prominent under humid conditions.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Farmer reports: extensive Overall growth appears stunted.,Tomato,Unhealthy,Early_blight,Horticultural oil
Farmer complains: clear Young leaves curl upward and turn yellow. severe Flowers often drop without fruit setting. sudden Veins become thick and prominent.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Field observation shows: sporadic Brown streaks may appear on stems. rapid Spots enlarge and develop yellow halos.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
"According to the grower: severe Leaves turn bronze and curl under. severe Mites thrive in hot, dry conditions. severe Infestation begins on lower leaves.",Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Visual check indicates: visible Webbing may be visible between leaves and stems.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer complains: extensive Warm weather accelerates disease spread. severe Spots enlarge and develop yellow halos.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
According to the grower: sporadic Overall growth is steady and balanced. visible Stems remain firm and robust.,Tomato,Healthy,healthy,None
"According to the grower: slight Edges of lesions appear water-soaked and greasy. sudden Lesions spread quickly under cool, wet weather. sudden New leaves become infected almost overnight.",Potato,Unhealthy,Late_blight,Sulfur spray
"According to the grower: sudden Cool, moist weather promotes rapid spread. extensive Fruit rot occurs quickly after infection. visible Fruits develop firm dark lesions with greasy texture.",Tomato,Unhealthy,Late_blight,Neem oil
Visual check indicates: sporadic Dark concentric rings form on lower leaves. moderate Leaves drop prematurely under stress. sudden Stems may show sunken brown streaks.,Tomato,Unhealthy,Early_blight,Horticultural oil
Agronomist notes: clear Yellow patches appear on upper leaf surfaces. visible Disease thrives in high humidity and poor airflow. visible Edges of leaves become brown and dry.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Field observation shows: moderate Plant stands tall and vigorous. rapid Fruits develop evenly with no blemishes. sudden No spots or discoloration on leaves.,Tomato,Healthy,healthy,None
Inspection reveals: sudden Fruits develop uneven ripening. notable Flower formation may be reduced.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Farmer complains: visible Stems appear firm and upright. visible Fruit set appears normal and healthy. sporadic Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,None
According to the grower: clear Large irregular brown patches appear on leaves. extensive Whole plants may wilt overnight.,Tomato,Unhealthy,Late_blight,Neem oil
Farmer reports: moderate Leaves develop a musty odor.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Field observation shows: clear Virus spreads via whiteflies rapidly.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Inspection reveals: sudden Plant growth slows noticeably. clear Lesions merge into large yellow areas.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
According to the grower: extensive Leaves look vibrant green with a smooth texture. extensive No visible blemishes on leaves or stems.,Pepper_bell,Healthy,healthy,None
Field observation shows: extensive Tiny dark spots appear on young leaves.,Pepper_bell,Unhealthy,Bacterial_spot,Biological predators
Agronomist notes: notable Large brown blotches develop rapidly on leaves.,Potato,Unhealthy,Late_blight,Sulfur spray
Farmer complains: sporadic Yellow halos surround each small lesion. visible Growth appears patchy across the field. severe Plants look generally stressed.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: sporadic Fruits develop uneven ripening. rapid Virus spreads easily through plant contact. visible Leaves may appear leathery.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Agronomist notes: moderate Older leaves show symptoms first. extensive Leaf edges appear scorched and curled.,Tomato,Unhealthy,Early_blight,Horticultural oil
visible Fruits develop uneven ripening. clear Symptoms worsen under high light conditions. rapid Leaflets may become fern-like and narrow.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
Inspection reveals: extensive Fine yellow dust may be visible on foliage. notable Leaves appear stippled with pale spots.,Tomato,Unhealthy,Spider_mites_Two_spotted_spider_mite,Sulfur spray
Farmer reports: clear No signs of wilting or discoloration. severe Leaves are lush green with no visible spots.,Potato,Healthy,healthy,None
Field observation shows: clear Growth appears patchy across the field.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Field observation shows: sporadic Severe infections reduce fruit yield.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Visual check indicates: notable Leaves become thin and sparse.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
"Farmer complains: clear Lesions enlarge during warm, humid weather.",Potato,Unhealthy,Early_blight,Neem oil
"According to the grower: rapid Dark concentric rings form on lower leaves. sporadic Spots expand during warm, humid weather. sporadic Leaf edges appear scorched and curled.",Tomato,Unhealthy,Early_blight,Horticultural oil
Inspection reveals: sporadic Overall plant vigor decreases. sporadic Leaves may appear leathery. sporadic Virus spreads easily through plant contact.,Tomato,Unhealthy,Tomato_mosaic_virus,Biological predators
"Visual check indicates: visible Plant vigor decreases over time. rapid Older leaves show symptoms first. visible Fruits develop sunken, leathery patches.",Tomato,Unhealthy,Early_blight,Horticultural oil
severe Lesions merge into large yellow areas. moderate Lower leaves are affected first.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
Farmer reports: sporadic No unusual odor detected in the field. notable Stems are firm and unblemished.,Potato,Healthy,healthy,None
Field observation shows: sporadic Fruit set appears normal and healthy. slight Growth appears vigorous and balanced.,Pepper_bell,Healthy,healthy,None
Field observation shows: severe Fruits develop bright color and firm walls. moderate Fruit set appears normal and healthy.,Pepper_bell,Healthy,healthy,None
According to the grower: sporadic Fruits show dark specks near the stem end.,Tomato,Unhealthy,Target_Spot,Bacillus subtilis
Inspection reveals: sudden Leaves collapse suddenly without warning.,Tomato,Unhealthy,Late_blight,Neem oil
Inspection reveals: moderate Growth appears patchy across the field.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
Farmer complains: clear Lower leaves are affected first.,Tomato,Unhealthy,Leaf_Mold,Sulfur spray
extensive Fruit production decreases sharply. severe Leaves appear crumpled and thickened. slight Young leaves curl upward and turn yellow.,Tomato,Unhealthy,Tomato_YellowLeaf_Curl_Virus,Horticultural oil
Visual check indicates: visible Plant stands tall and vigorous.,Tomato,Healthy,healthy,None
"Field observation shows: notable Large irregular brown patches appear on leaves. severe Cool, moist weather promotes rapid spread. rapid Infected areas emit a musty odor.",Tomato,Unhealthy,Late_blight,Neem oil
Field observation shows: sudden Plant growth becomes stunted and uneven. severe Lesions become raised and scabby on fruit.,Tomato,Unhealthy,Bacterial_spot,Sulfur spray
According to the grower: notable Yellow halos surround each small lesion. severe Spots increase rapidly in wet conditions. visible Plants look generally stressed.,Tomato,Unhealthy,Septoria_leaf_spot,Neem oil
