disease,clean_description,recommended_pesticide
Spider_mites_Two_spotted_spider_mite,sudden fruit development may stunted sudden webbing may visible leaf stem,Sulfur spray
healthy,farmer report severe stem remain firm robust rapid plant stand tall vigorous,No pesticide needed
healthy,inspection reveals visible sign wilting discoloration visible plant show sign stress pest,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,according grower visible young leaf curl upward turn yellow slight leaf appear crumpled thickened extensive leaf edge show bright yellow coloring,Horticultural oil
Late_blight,field observation show slight whole field appear scorched dead,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report sporadic internode shorten dramatically clear fruit production decrease sharply sudden virus spread via whitefly rapidly,Horticultural oil
Late_blight,farmer complains moderate edge lesion appear watersoaked greasy,Sulfur spray
Early_blight,farmer complains rapid foliage appears scorched curled sudden brown patch coalesce larger necrotic area,Neem oil
Late_blight,field observation show extensive large brown blotch develop rapidly leaf visible edge lesion appear watersoaked greasy,Sulfur spray
healthy,farmer complains clear fruit cluster wellformed,No pesticide needed
Target_Spot,visible spot prominent humid condition slight leaf show circular irregular necrotic area,Bacillus subtilis
Late_blight,farmer report sporadic fruit develop firm dark lesion greasy texture notable infected area emit musty odor severe edge lesion look watersoaked,Neem oil
Early_blight,farmer complains moderate stem may show sunken brown streak rapid spot expand warm humid weather sudden leaf drop prematurely stress,Horticultural oil
Tomato_mosaic_virus,field observation show visible leaflet may become fernlike narrow moderate flower formation may reduced moderate virus spread easily plant contact,Biological predators
Spider_mites_Two_spotted_spider_mite,according grower notable leaf turn bronze curl extensive webbing may visible leaf stem,Sulfur spray
Spider_mites_Two_spotted_spider_mite,visual check indicates rapid infested leaf drop prematurely severe webbing may visible leaf stem,Sulfur spray
Leaf_Mold,moderate lesion merge large yellow area,Sulfur spray
Early_blight,rapid older leaf first show symptom sudden lower leaf drop prematurely stress,Neem oil
Leaf_Mold,inspection reveals visible leaf develop musty odor sporadic underside develop fuzzy white olive mold,Sulfur spray
Early_blight,according grower notable overall growth appears stunted moderate leaf edge appear scorched curled,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates extensive overall plant appears dwarfed,Horticultural oil
Septoria_leaf_spot,farmer report notable severe infection reduce fruit yield moderate growth appears patchy across field moderate spot increase rapidly wet condition,Neem oil
Early_blight,sporadic overall growth appears stunted,Horticultural oil
Late_blight,farmer report severe white fungal growth may appear humid condition,Sulfur spray
healthy,according grower sudden stem firm unblemished rapid plant show sign stress pest,No pesticide needed
Target_Spot,field observation show rapid growth appears stunted patchy foliage,Bacillus subtilis
Tomato_mosaic_virus,visual check indicates slight flower formation may reduced slight fruit show irregular color pattern,Biological predators
Leaf_Mold,farmer report sporadic leaf curl become brittle sudden leaf develop musty odor,Sulfur spray
Early_blight,sporadic foliage appears scorched curled extensive affected plant exhibit reduced tuber size,Neem oil
Septoria_leaf_spot,farmer report moderate leaf become thin sparse,Neem oil
Early_blight,sporadic older leaf first show symptom,Neem oil
Tomato_mosaic_virus,according grower moderate virus spread easily plant contact extensive fruit show irregular color pattern,Biological predators
Tomato_mosaic_virus,field observation show sudden fruit develop uneven ripening clear fruit show irregular color pattern rapid leaf display mottled light dark green patch,Biological predators
healthy,sudden plant show sign stress pest severe growth appears vigorous steady sporadic leaf lush green visible spot,No pesticide needed
healthy,clear plant maintain strong upright growth,No pesticide needed
Bacterial_spot,sudden plant growth becomes stunted uneven slight lesion become raised scabby fruit sporadic warm weather accelerates disease spread,Sulfur spray
Spider_mites_Two_spotted_spider_mite,farmer complains sporadic infestation begin lower leaf notable leaf turn bronze curl,Sulfur spray
healthy,visual check indicates clear fruit cluster wellformed rapid plant stand tall vigorous sporadic flower appear healthy plentiful,No pesticide needed
Late_blight,severe leaf collapse suddenly without warning,Neem oil
Tomato_YellowLeaf_Curl_Virus,agronomist note rapid young leaf curl upward turn yellow,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates visible flower often drop without fruit setting slight vein become thick prominent,Horticultural oil
Early_blight,visual check indicates sporadic affected plant exhibit reduced tuber size rapid severe case cause significant leaf loss,Neem oil
Late_blight,according grower extensive stem turn brown brittle,Neem oil
healthy,farmer report extensive fruit set appears normal healthy moderate stem appear firm upright,No pesticide needed
Bacterial_spot,agronomist note sudden tiny dark spot appear young leaf moderate leaf edge turn brown crack sporadic spot sometimes merge larger dead area,Biological predators
Spider_mites_Two_spotted_spider_mite,visual check indicates slight leaf surface feel dry rough clear leaf turn bronze curl,Sulfur spray
Leaf_Mold,visual check indicates clear underside develop fuzzy white olive mold severe yellow patch appear upper leaf surface,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,agronomist note slight fruit production decrease sharply sporadic internode shorten dramatically sudden virus spread via whitefly rapidly,Horticultural oil
Bacterial_spot,according grower rapid spot sometimes merge larger dead area slight lower leaf drop prematurely,Biological predators
Late_blight,farmer complains clear stem show brown streak near soil level clear edge lesion appear watersoaked greasy,Sulfur spray
Leaf_Mold,agronomist note visible leaf curl become brittle,Sulfur spray
Tomato_mosaic_virus,farmer complains rapid fruit show irregular color pattern,Biological predators
Spider_mites_Two_spotted_spider_mite,field observation show rapid fruit development may stunted sudden leaf surface feel dry rough extensive fine yellow dust may visible foliage,Sulfur spray
Early_blight,farmer complains severe lesion enlarge warm humid weather,Neem oil
Bacterial_spot,inspection reveals sudden spot may merge larger dead zone,Sulfur spray
Late_blight,farmer report visible leaf become limp collapse suddenly rapid stem show brown streak near soil level,Sulfur spray
Early_blight,visual check indicates visible spot expand warm humid weather,Horticultural oil
healthy,visible plant canopy full evenly spaced clear growth appears vigorous balanced rapid fruit develop bright color firm wall,No pesticide needed
healthy,farmer complains notable visible blemish leaf stem,No pesticide needed
Late_blight,visual check indicates notable new leaf become infected almost overnight clear leaf become limp collapse suddenly notable edge lesion appear watersoaked greasy,Sulfur spray
Septoria_leaf_spot,farmer complains moderate tiny dark speck appear pale center severe spot remain le ⅛ inch diameter sudden leaf become thin sparse,Neem oil
Target_Spot,according grower sporadic growth appears stunted patchy foliage severe affected area appear sunken dry sudden fruit show dark speck near stem end,Bacillus subtilis
Bacterial_spot,visual check indicates moderate warm weather accelerates disease spread sudden lesion become raised scabby fruit extensive brown streak may appear stem,Sulfur spray
Septoria_leaf_spot,visual check indicates sudden growth appears patchy across field slight plant look generally stressed sudden spot increase rapidly wet condition,Neem oil
Late_blight,visual check indicates sporadic white mold may appear leaf underside notable stem turn brown brittle sudden large irregular brown patch appear leaf,Neem oil
Early_blight,agronomist note sporadic fruit develop sunken leathery patch clear yellowing appears around brown lesion rapid leaf edge appear scorched curled,Horticultural oil
Bacterial_spot,according grower slight brown streak may appear stem sporadic plant growth becomes stunted uneven sudden tiny dark speck appear young leaf,Sulfur spray
Tomato_mosaic_virus,farmer complains extensive overall plant vigor decrease,Biological predators
Spider_mites_Two_spotted_spider_mite,farmer complains rapid mite thrive hot dry condition,Sulfur spray
Early_blight,field observation show visible leaf edge appear scorched curled visible fruit develop sunken leathery patch clear older leaf show symptom first,Horticultural oil
Septoria_leaf_spot,agronomist note visible leaf become thin sparse,Neem oil
Bacterial_spot,farmer report rapid tiny dark speck appear young leaf visible warm weather accelerates disease spread,Sulfur spray
healthy,slight leaf edge remain intact smooth,No pesticide needed
Early_blight,according grower extensive dark spot sometimes appear stem sudden severe case cause significant leaf loss notable lower leaf drop prematurely stress,Neem oil
healthy,agronomist note sudden fruit set appears normal healthy clear overall appearance robust lush,No pesticide needed
healthy,severe unusual odor detected field,No pesticide needed
healthy,field observation show severe plant canopy full evenly spaced notable leaf look vibrant green smooth texture,No pesticide needed
Tomato_mosaic_virus,field observation show sporadic fruit develop uneven ripening,Biological predators
Septoria_leaf_spot,farmer complains severe growth appears patchy across field,Neem oil
healthy,farmer complains visible spot discoloration leaf visible plant appear free pest disease sporadic overall growth steady balanced,No pesticide needed
Late_blight,farmer complains rapid infected tuber show dark firm patch beneath skin visible white fungal growth may appear humid condition moderate edge lesion appear watersoaked greasy,Sulfur spray
Spider_mites_Two_spotted_spider_mite,inspection reveals rapid infestation begin lower leaf sporadic fine yellow dust may visible foliage moderate plant vigor decline noticeably,Sulfur spray
Bacterial_spot,farmer report severe lesion become angular watersoaked slight leaf edge turn brown crack,Biological predators
Tomato_mosaic_virus,farmer complains notable fruit show irregular color pattern visible leaflet may become fernlike narrow rapid virus spread easily plant contact,Biological predators
healthy,field observation show severe visible blemish leaf stem visible stem appear firm upright sudden fruit set appears normal healthy,No pesticide needed
Tomato_mosaic_virus,farmer report clear virus spread easily plant contact,Biological predators
Septoria_leaf_spot,field observation show sporadic spot remain le ⅛ inch diameter,Neem oil
healthy,according grower sporadic fruit develop bright color firm wall,No pesticide needed
Spider_mites_Two_spotted_spider_mite,farmer report visible webbing may visible leaf stem,Sulfur spray
Tomato_mosaic_virus,inspection reveals slight leaf may appear leathery slight growth appears stunted twisted rapid overall plant vigor decrease,Biological predators
Late_blight,field observation show severe new leaf become infected almost overnight slight large brown blotch develop rapidly leaf notable blight odor noticeable severe infection,Sulfur spray
healthy,farmer report clear fruit develop bright color firm wall,No pesticide needed
healthy,according grower slight leaf lush green visible spot,No pesticide needed
Bacterial_spot,visual check indicates slight leaf edge become ragged torn severe plant growth becomes stunted uneven extensive tiny dark speck appear young leaf,Sulfur spray
Late_blight,clear leaf collapse suddenly without warning severe cool moist weather promotes rapid spread,Neem oil
Septoria_leaf_spot,agronomist note extensive spot remain le ⅛ inch diameter sporadic stem remain largely unaffected moderate lower leaf drop early season,Neem oil
healthy,field observation show severe leaf edge remain intact smooth notable plant maintain strong upright growth clear unusual odor detected field,No pesticide needed
healthy,moderate sign wilting discoloration visible growth appears vigorous steady rapid leaf edge remain intact smooth,No pesticide needed
Late_blight,according grower moderate edge lesion look watersoaked,Neem oil
Early_blight,according grower sudden overall growth appears stunted slight plant vigor decrease time notable leaf edge appear scorched curled,Horticultural oil
Spider_mites_Two_spotted_spider_mite,visual check indicates moderate plant vigor decline noticeably rapid infestation begin lower leaf rapid leaf appear stippled pale spot,Sulfur spray
Early_blight,inspection reveals rapid plant vigor decrease time,Horticultural oil
healthy,visual check indicates sudden stem appear firm upright clear unusual wilting curling leaf,No pesticide needed
Leaf_Mold,field observation show slight edge leaf become brown dry,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer report moderate flower often drop without fruit setting moderate fruit production decrease sharply visible overall plant appears dwarfed,Horticultural oil
Bacterial_spot,according grower severe leaf edge become ragged torn extensive lower leaf drop early stress visible lesion become raised scabby fruit,Sulfur spray
Early_blight,agronomist note notable affected plant exhibit reduced tuber size,Neem oil
Target_Spot,field observation show severe fruit show dark speck near stem end,Bacillus subtilis
Early_blight,according grower rapid plant vigor decrease time slight fruit develop sunken leathery patch,Horticultural oil
Tomato_mosaic_virus,according grower visible fruit show irregular color pattern visible flower formation may reduced rapid fruit develop uneven ripening,Biological predators
Target_Spot,farmer report sudden leaf show circular irregular necrotic area,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,sporadic plant vigor decline noticeably severe leaf turn bronze curl sudden infestation begin lower leaf,Sulfur spray
Early_blight,sudden small dark spot develop concentric ring rapid affected plant exhibit reduced tuber size,Neem oil
Early_blight,farmer complains rapid affected plant exhibit reduced tuber size,Neem oil
Late_blight,farmer complains slight stem show brown streak near soil level severe large brown blotch develop rapidly leaf,Sulfur spray
Late_blight,agronomist note severe edge lesion look watersoaked,Neem oil
Bacterial_spot,farmer complains slight warm weather accelerates disease spread,Sulfur spray
Late_blight,inspection reveals notable edge lesion look watersoaked rapid infected area emit musty odor,Neem oil
Leaf_Mold,notable underside develop fuzzy white olive mold extensive leaf develop musty odor,Sulfur spray
Late_blight,visual check indicates sporadic white fungal growth may appear humid condition,Sulfur spray
Target_Spot,according grower severe spot prominent humid condition,Bacillus subtilis
Tomato_mosaic_virus,field observation show moderate fruit show irregular color pattern,Biological predators
Target_Spot,severe growth appears stunted patchy foliage slight leaf look scorched burnt edge sudden affected area appear sunken dry,Bacillus subtilis
Bacterial_spot,agronomist note rapid lower leaf drop early stress,Sulfur spray
Early_blight,farmer report slight plant vigor decrease time notable leaf drop prematurely stress,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,inspection reveals moderate young leaf curl upward turn yellow rapid leaf edge show bright yellow coloring,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,field observation show visible young leaf curl upward turn yellow notable internode shorten dramatically sporadic fruit production decrease sharply,Horticultural oil
healthy,rapid fruit develop evenly blemish sudden plant stand tall vigorous sudden sign curling wilting,No pesticide needed
Septoria_leaf_spot,inspection reveals severe yellow halo surround small lesion,Neem oil
Target_Spot,field observation show rapid small dark lesion appear lower leaf,Bacillus subtilis
Target_Spot,according grower moderate lesion coalesce large blighted zone visible growth appears stunted patchy foliage slight leaf show circular irregular necrotic area,Bacillus subtilis
Target_Spot,visual check indicates extensive lesion coalesce large blighted zone notable leaf show circular irregular necrotic area visible spot develop yellow halo expand,Bacillus subtilis
Late_blight,agronomist note moderate infected tuber show dark firm patch beneath skin sporadic new leaf become infected almost overnight notable leaf become limp collapse suddenly,Sulfur spray
Target_Spot,farmer complains sudden fruit show dark speck near stem end moderate spot prominent humid condition,Bacillus subtilis
Early_blight,farmer report extensive overall growth appears stunted,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,farmer complains clear young leaf curl upward turn yellow severe flower often drop without fruit setting sudden vein become thick prominent,Horticultural oil
Bacterial_spot,field observation show sporadic brown streak may appear stem rapid spot enlarge develop yellow halo,Sulfur spray
Spider_mites_Two_spotted_spider_mite,according grower severe leaf turn bronze curl severe mite thrive hot dry condition severe infestation begin lower leaf,Sulfur spray
Spider_mites_Two_spotted_spider_mite,visual check indicates visible webbing may visible leaf stem,Sulfur spray
Bacterial_spot,farmer complains extensive warm weather accelerates disease spread severe spot enlarge develop yellow halo,Sulfur spray
healthy,according grower sporadic overall growth steady balanced visible stem remain firm robust,No pesticide needed
Late_blight,according grower slight edge lesion appear watersoaked greasy sudden lesion spread quickly cool wet weather sudden new leaf become infected almost overnight,Sulfur spray
Late_blight,according grower sudden cool moist weather promotes rapid spread extensive fruit rot occurs quickly infection visible fruit develop firm dark lesion greasy texture,Neem oil
Early_blight,visual check indicates sporadic dark concentric ring form lower leaf moderate leaf drop prematurely stress sudden stem may show sunken brown streak,Horticultural oil
Leaf_Mold,agronomist note clear yellow patch appear upper leaf surface visible disease thrives high humidity poor airflow visible edge leaf become brown dry,Sulfur spray
healthy,field observation show moderate plant stand tall vigorous rapid fruit develop evenly blemish sudden spot discoloration leaf,No pesticide needed
Tomato_mosaic_virus,inspection reveals sudden fruit develop uneven ripening notable flower formation may reduced,Biological predators
healthy,farmer complains visible stem appear firm upright visible fruit set appears normal healthy sporadic growth appears vigorous balanced,No pesticide needed
Late_blight,according grower clear large irregular brown patch appear leaf extensive whole plant may wilt overnight,Neem oil
Leaf_Mold,farmer report moderate leaf develop musty odor,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,field observation show clear virus spread via whitefly rapidly,Horticultural oil
Leaf_Mold,inspection reveals sudden plant growth slows noticeably clear lesion merge large yellow area,Sulfur spray
healthy,according grower extensive leaf look vibrant green smooth texture extensive visible blemish leaf stem,No pesticide needed
Bacterial_spot,field observation show extensive tiny dark spot appear young leaf,Biological predators
Late_blight,agronomist note notable large brown blotch develop rapidly leaf,Sulfur spray
Septoria_leaf_spot,farmer complains sporadic yellow halo surround small lesion visible growth appears patchy across field severe plant look generally stressed,Neem oil
Tomato_mosaic_virus,farmer complains sporadic fruit develop uneven ripening rapid virus spread easily plant contact visible leaf may appear leathery,Biological predators
Early_blight,agronomist note moderate older leaf show symptom first extensive leaf edge appear scorched curled,Horticultural oil
Tomato_mosaic_virus,visible fruit develop uneven ripening clear symptom worsen high light condition rapid leaflet may become fernlike narrow,Biological predators
Spider_mites_Two_spotted_spider_mite,inspection reveals extensive fine yellow dust may visible foliage notable leaf appear stippled pale spot,Sulfur spray
healthy,farmer report clear sign wilting discoloration severe leaf lush green visible spot,No pesticide needed
Septoria_leaf_spot,field observation show clear growth appears patchy across field,Neem oil
Septoria_leaf_spot,field observation show sporadic severe infection reduce fruit yield,Neem oil
Septoria_leaf_spot,visual check indicates notable leaf become thin sparse,Neem oil
Early_blight,farmer complains clear lesion enlarge warm humid weather,Neem oil
Early_blight,according grower rapid dark concentric ring form lower leaf sporadic spot expand warm humid weather sporadic leaf edge appear scorched curled,Horticultural oil
Tomato_mosaic_virus,inspection reveals sporadic overall plant vigor decrease sporadic leaf may appear leathery sporadic virus spread easily plant contact,Biological predators
Early_blight,visual check indicates visible plant vigor decrease time rapid older leaf show symptom first visible fruit develop sunken leathery patch,Horticultural oil
Leaf_Mold,severe lesion merge large yellow area moderate lower leaf affected first,Sulfur spray
healthy,farmer report sporadic unusual odor detected field notable stem firm unblemished,No pesticide needed
healthy,field observation show sporadic fruit set appears normal healthy slight growth appears vigorous balanced,No pesticide needed
healthy,field observation show severe fruit develop bright color firm wall moderate fruit set appears normal healthy,No pesticide needed
Target_Spot,according grower sporadic fruit show dark speck near stem end,Bacillus subtilis
Late_blight,inspection reveals sudden leaf collapse suddenly without warning,Neem oil
Septoria_leaf_spot,inspection reveals moderate growth appears patchy across field,Neem oil
Leaf_Mold,farmer complains clear lower leaf affected first,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,extensive fruit production decrease sharply severe leaf appear crumpled thickened slight young leaf curl upward turn yellow,Horticultural oil
healthy,visual check indicates visible plant stand tall vigorous,No pesticide needed
Late_blight,field observation show notable large irregular brown patch appear leaf severe cool moist weather promotes rapid spread rapid infected area emit musty odor,Neem oil
Bacterial_spot,field observation show sudden plant growth becomes stunted uneven severe lesion become raised scabby fruit,Sulfur spray
Septoria_leaf_spot,according grower notable yellow halo surround small lesion severe spot increase rapidly wet condition visible plant look generally stressed,Neem oil
Target_Spot,clear spot develop yellow halo expand sporadic small dark lesion appear lower leaf sudden fruit show dark speck near stem end,Bacillus subtilis
Early_blight,clear foliage appears scorched curled sudden brown patch coalesce larger necrotic area,Neem oil
Bacterial_spot,visual check indicates sporadic warm wet weather increase disease spread,Biological predators
Target_Spot,according grower notable leaf look scorched burnt edge extensive severe infection lead premature leaf drop,Bacillus subtilis
Early_blight,agronomist note sudden leaf edge appear scorched curled moderate yellowing appears around brown lesion,Horticultural oil
Leaf_Mold,severe fruit development may reduced sudden leaf develop musty odor severe lesion merge large yellow area,Sulfur spray
Septoria_leaf_spot,field observation show sudden tiny dark speck appear pale center visible leaf become thin sparse clear growth appears patchy across field,Neem oil
healthy,visual check indicates moderate flower appear healthy plentiful slight plant stand tall vigorous,No pesticide needed
Late_blight,according grower extensive leaf collapse suddenly without warning sporadic fruit rot occurs quickly infection,Neem oil
Spider_mites_Two_spotted_spider_mite,according grower moderate leaf surface feel dry rough visible fine yellow dust may visible foliage,Sulfur spray
Target_Spot,agronomist note severe growth appears stunted patchy foliage,Bacillus subtilis
Late_blight,visual check indicates clear fruit develop firm dark lesion greasy texture,Neem oil
Early_blight,sporadic older leaf show symptom first rapid spot expand warm humid weather,Horticultural oil
Spider_mites_Two_spotted_spider_mite,inspection reveals slight infestation begin lower leaf severe infested leaf drop prematurely,Sulfur spray
healthy,moderate fruit cluster wellformed slight overall growth steady balanced,No pesticide needed
Leaf_Mold,clear fruit development may reduced sporadic lesion merge large yellow area,Sulfur spray
Bacterial_spot,agronomist note visible warm wet weather increase disease spread,Biological predators
Bacterial_spot,according grower slight lesion become angular watersoaked,Biological predators
Bacterial_spot,field observation show sudden spot enlarge develop yellow halo,Sulfur spray
Late_blight,sudden white mold may appear leaf underside moderate cool moist weather promotes rapid spread,Neem oil
Early_blight,according grower sudden stem may show sunken brown streak rapid leaf edge appear scorched curled,Horticultural oil
Bacterial_spot,field observation show sudden lower leaf drop early stress,Sulfur spray
Target_Spot,field observation show extensive leaf show circular irregular necrotic area extensive small dark lesion appear lower leaf,Bacillus subtilis
Spider_mites_Two_spotted_spider_mite,farmer report sudden fruit development may stunted notable infestation begin lower leaf,Sulfur spray
Bacterial_spot,farmer complains clear tiny dark spot appear young leaf visible new growth appears stunted distorted,Biological predators
Late_blight,inspection reveals severe leaf collapse suddenly without warning,Neem oil
Leaf_Mold,field observation show slight plant growth slows noticeably rapid lower leaf affected first slight lesion merge large yellow area,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,farmer complains notable young leaf curl upward turn yellow,Horticultural oil
Early_blight,according grower clear overall growth appears stunted severe dark concentric ring form lower leaf sudden spot expand warm humid weather,Horticultural oil
Tomato_YellowLeaf_Curl_Virus,agronomist note sporadic leaf appear crumpled thickened severe leaf edge show bright yellow coloring visible flower often drop without fruit setting,Horticultural oil
Septoria_leaf_spot,visible growth appears patchy across field,Neem oil
Bacterial_spot,agronomist note visible warm wet weather increase disease spread clear infected fruit show raised scabby lesion,Biological predators
Septoria_leaf_spot,farmer report severe spot increase rapidly wet condition,Neem oil
Tomato_YellowLeaf_Curl_Virus,field observation show rapid vein become thick prominent slight virus spread via whitefly rapidly,Horticultural oil
healthy,field observation show sudden fruit develop bright color firm wall sudden visible blemish leaf stem sporadic plant canopy full evenly spaced,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,farmer report notable virus spread via whitefly rapidly notable leaf edge show bright yellow coloring clear fruit production decrease sharply,Horticultural oil
Target_Spot,slight small dark lesion appear lower leaf sudden severe infection lead premature leaf drop,Bacillus subtilis
healthy,inspection reveals clear surface remain free lesion mold rapid growth appears vigorous balanced slight plant canopy full evenly spaced,No pesticide needed
Tomato_mosaic_virus,farmer complains severe virus spread easily plant contact,Biological predators
Spider_mites_Two_spotted_spider_mite,visual check indicates sporadic leaf surface feel dry rough clear fine yellow dust may visible foliage,Sulfur spray
Spider_mites_Two_spotted_spider_mite,according grower clear fine yellow dust may visible foliage,Sulfur spray
Leaf_Mold,field observation show visible disease thrives high humidity poor airflow sporadic edge leaf become brown dry,Sulfur spray
Bacterial_spot,according grower visible brown streak may appear stem sporadic plant growth becomes stunted uneven,Sulfur spray
Bacterial_spot,extensive plant growth becomes stunted uneven extensive warm weather accelerates disease spread moderate leaf edge become ragged torn,Sulfur spray
Bacterial_spot,field observation show rapid spot sometimes merge larger dead area extensive bacterial ooze may visible moist condition,Biological predators
Septoria_leaf_spot,agronomist note moderate lower leaf drop early season,Neem oil
Early_blight,agronomist note clear leaf drop prematurely stress,Horticultural oil
Septoria_leaf_spot,according grower clear stem remain largely unaffected sporadic leaf become thin sparse extensive yellow halo surround small lesion,Neem oil
Tomato_YellowLeaf_Curl_Virus,visual check indicates clear overall plant appears dwarfed extensive internode shorten dramatically,Horticultural oil
Early_blight,severe fruit develop sunken leathery patch visible leaf edge appear scorched curled,Horticultural oil
healthy,visual check indicates notable plant maintain strong upright growth sporadic unusual odor detected field,No pesticide needed
Tomato_YellowLeaf_Curl_Virus,according grower severe overall plant appears dwarfed severe vein become thick prominent,Horticultural oil
Bacterial_spot,farmer report sudden lower leaf drop prematurely notable new growth appears stunted distorted notable warm wet weather increase disease spread,Biological predators
healthy,agronomist note severe visible blemish leaf stem sudden unusual wilting curling leaf clear fruit develop bright color firm wall,No pesticide needed
Septoria_leaf_spot,agronomist note clear plant look generally stressed moderate leaf become thin sparse sporadic tiny dark speck appear pale center,Neem oil
Septoria_leaf_spot,agronomist note extensive yellow halo surround small lesion visible spot remain le ⅛ inch diameter slight severe infection reduce fruit yield,Neem oil
Early_blight,farmer complains clear dark concentric ring form lower leaf,Horticultural oil
Spider_mites_Two_spotted_spider_mite,according grower clear infestation begin lower leaf slight plant vigor decline noticeably,Sulfur spray
healthy,according grower moderate flower appear healthy plentiful,No pesticide needed
Late_blight,farmer report clear cool moist weather promotes rapid spread,Neem oil
Septoria_leaf_spot,inspection reveals moderate spot increase rapidly wet condition sporadic yellow halo surround small lesion,Neem oil
Early_blight,according grower sudden lesion enlarge warm humid weather rapid small dark spot develop concentric ring sudden lower leaf drop prematurely stress,Neem oil
Late_blight,field observation show sporadic cool moist weather promotes rapid spread sudden edge lesion look watersoaked visible fruit rot occurs quickly infection,Neem oil
Septoria_leaf_spot,according grower extensive lower leaf drop early season visible tiny dark speck appear pale center,Neem oil
Leaf_Mold,farmer report sudden edge leaf become brown dry,Sulfur spray
Late_blight,farmer report slight stem turn brown brittle,Neem oil
healthy,field observation show clear plant stand tall vigorous,No pesticide needed
Late_blight,inspection reveals extensive large irregular brown patch appear leaf rapid edge lesion look watersoaked,Neem oil
healthy,visual check indicates slight plant show sign stress pest,No pesticide needed
healthy,visual check indicates clear healthy foliage cover soil evenly moderate stem firm unblemished,No pesticide needed
Late_blight,agronomist note sudden leaf collapse suddenly without warning,Neem oil
Bacterial_spot,agronomist note severe infected fruit show raised scabby lesion moderate warm wet weather increase disease spread,Biological predators
Target_Spot,farmer report sporadic fruit show dark speck near stem end visible leaf show circular irregular necrotic area,Bacillus subtilis
Early_blight,according grower sudden small dark spot develop concentric ring clear older leaf first show symptom rapid leaf yellow around brown lesion,Neem oil
Bacterial_spot,sporadic leaf edge turn brown crack moderate spot sometimes merge larger dead area,Biological predators
healthy,visual check indicates sporadic healthy foliage cover soil evenly moderate tuber development appears uniform healthy moderate growth appears vigorous steady,No pesticide needed
healthy,visual check indicates sudden leaf look lush green glossy surface notable spot discoloration leaf extensive stem remain firm robust,No pesticide needed
Early_blight,field observation show severe brown patch coalesce larger necrotic area,Neem oil
Bacterial_spot,according grower severe leaf edge become ragged torn notable plant growth becomes stunted uneven visible spot enlarge develop yellow halo,Sulfur spray
Tomato_YellowLeaf_Curl_Virus,according grower sudden vein become thick prominent sudden leaf appear crumpled thickened sudden growth becomes stunted bushy,Horticultural oil
